comparison_group,instance,method_or_variant,seed,seed_archive_signature_count,seed_exclusive_signature_count,seed_rediscovered_signature_count,seed_rediscovered_signature_ratio,definition
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,102,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,103,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,104,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,105,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,106,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,107,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,108,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,109,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,110,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,111,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,112,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,113,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,114,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,115,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,116,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,117,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,118,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,119,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,120,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,121,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,122,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,123,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,124,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,125,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,126,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,127,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,128,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,129,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,130,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,101,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,102,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,103,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,104,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,105,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,106,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,107,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
phase11,demo_layout_door_left_AW_2,bs_only_direct,108,5,0,5,1.0,order-invariant within method and instance across seeds 101-130
