phase,method_or_variant,method_label,instance,instance_label,seed,index,hypervolume,carried_forward
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,12,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,13,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,14,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,0,1.1706934978456722,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,1,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,2,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,3,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,4,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,5,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,6,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,7,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,8,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,9,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,10,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,11,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,12,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,13,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,102,14,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,103,0,0.9249163728946339,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,103,1,0.9249163728946339,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,103,2,0.9811952604778693,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,103,3,0.9811952604778693,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,103,4,0.9811952604778693,False
