phase,method_or_variant,instance,seed,generation_objectives_csv,row_count
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,102,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s102\runs\AT_S_comercial_layout_AW_3\seed_102\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,103,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,104,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s104\runs\AT_S_comercial_layout_AW_3\seed_104\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,105,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,106,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s106\runs\AT_S_comercial_layout_AW_3\seed_106\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,107,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s107\runs\AT_S_comercial_layout_AW_3\seed_107\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,108,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s108\runs\AT_S_comercial_layout_AW_3\seed_108\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,109,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s109\runs\AT_S_comercial_layout_AW_3\seed_109\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,110,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s110\runs\AT_S_comercial_layout_AW_3\seed_110\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,111,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s111\runs\AT_S_comercial_layout_AW_3\seed_111\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,112,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s112\runs\AT_S_comercial_layout_AW_3\seed_112\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,113,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s113\runs\AT_S_comercial_layout_AW_3\seed_113\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,114,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s114\runs\AT_S_comercial_layout_AW_3\seed_114\generation_objectives.csv,4
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,115,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s115\runs\AT_S_comercial_layout_AW_3\seed_115\generation_objectives.csv,4
