regime,lambda_case_id,lambda_depth,lambda_level,selection_label,workload_seed_id,rng_seed,orders_count,order_lines_count,mean_order_lambda_access_effort_sum,mean_order_lambda_access_effort_mean,mean_line_lambda_access_effort,seed_status,seed_warning
A,A1_baseline,1,1,L1,9,20260626,1000,2976,0.616432467533,0.207334015152,0.207134565703,ok,
A,A1_baseline,1,1,L1,10,20260627,1000,3017,0.612873376623,0.208111655844,0.203139998881,ok,
A,A1_baseline,1,1,L1,11,20260628,1000,3010,0.658912987013,0.223412564935,0.218907969107,ok,
A,A1_baseline,1,1,L1,12,20260629,1000,2972,0.622427272727,0.212349761905,0.209430441698,ok,
A,A1_baseline,1,1,L1,13,20260630,1000,3021,0.610714935065,0.200785887446,0.202156549177,ok,
A,A1_baseline,1,1,L1,14,20260631,1000,2940,0.635685714286,0.208959134199,0.216219630709,ok,
A,A1_baseline,1,1,L1,15,20260632,1000,3091,0.656754545455,0.208888030303,0.212473162554,ok,
A,A1_baseline,1,1,L1,16,20260633,1000,3034,0.586292857143,0.189161244589,0.193240888973,ok,
A,A1_baseline,1,1,L1,17,20260634,1000,3025,0.586232467532,0.200186461039,0.193795857036,ok,
A,A1_baseline,1,1,L1,18,20260635,1000,2996,0.601987012987,0.21406211039,0.200930244655,ok,
A,A1_baseline,1,1,L1,19,20260636,1000,3037,0.630735714286,0.200031764069,0.207683804506,ok,
A,A1_baseline,1,1,L1,20,20260637,1000,3018,0.619874025974,0.194578354978,0.205392321396,ok,
A,A1_baseline,1,1,L1,21,20260638,1000,2998,0.61355,0.206126893939,0.204653102068,ok,
A,A1_baseline,1,1,L1,22,20260639,1000,2974,0.601441558442,0.194413636364,0.202233207277,ok,
A,A1_baseline,1,1,L1,23,20260640,1000,3106,0.649974025974,0.211293106061,0.209264013514,ok,
A,A1_baseline,1,1,L1,24,20260641,1000,3096,0.656380519481,0.216233679654,0.212009211719,ok,
A,A1_baseline,1,1,L1,25,20260642,1000,2954,0.601512337662,0.198629588745,0.203626383772,ok,
A,A1_baseline,1,1,L1,26,20260643,1000,3002,0.637204545455,0.205572467532,0.212260008479,ok,
A,A1_baseline,1,1,L1,27,20260644,1000,2996,0.637553896104,0.216224902597,0.212801700969,ok,
A,A1_baseline,1,1,L1,28,20260645,1000,2993,0.591383116883,0.194328896104,0.197588746035,ok,
A,A1_baseline,1,1,L1,29,20260646,1000,2966,0.575979220779,0.192452088745,0.194193938226,ok,
A,A1_baseline,1,1,L1,30,20260647,1000,2986,0.57575,0.188262813853,0.192816476892,ok,
A,A1_baseline,1,1,L2,1,20260618,1000,3046,0.705711688312,0.228256926407,0.23168473024,ok,
A,A1_baseline,1,1,L2,2,20260619,1000,3031,0.783981818182,0.255887489178,0.258654509463,ok,
A,A1_baseline,1,1,L2,3,20260620,1000,2988,0.73658961039,0.243391341991,0.246515933865,ok,
A,A1_baseline,1,1,L2,4,20260621,1000,3085,0.713116883117,0.230516406927,0.231156201983,ok,
A,A1_baseline,1,1,L2,5,20260622,1000,3039,0.721581818182,0.238568831169,0.237440545634,ok,
A,A1_baseline,1,1,L2,6,20260623,1000,3009,0.731901298702,0.237783809524,0.243237387405,ok,
A,A1_baseline,1,1,L2,7,20260624,1000,2998,0.721709090909,0.240644155844,0.240730183759,ok,
A,A1_baseline,1,1,L2,8,20260625,1000,2990,0.731020779221,0.249453419914,0.244488554923,ok,
A,A1_baseline,1,1,L2,9,20260626,1000,2976,0.739698701299,0.247446147186,0.248554671135,ok,
A,A1_baseline,1,1,L2,10,20260627,1000,3017,0.733405194806,0.24809995671,0.243090883263,ok,
A,A1_baseline,1,1,L2,11,20260628,1000,3010,0.78325974026,0.264436190476,0.260219182811,ok,
A,A1_baseline,1,1,L2,12,20260629,1000,2972,0.747366233767,0.255392207792,0.251469123071,ok,
A,A1_baseline,1,1,L2,13,20260630,1000,3021,0.731423376624,0.240425497836,0.2421130012,ok,
A,A1_baseline,1,1,L2,14,20260631,1000,2940,0.757012987013,0.249914588745,0.257487410549,ok,
A,A1_baseline,1,1,L2,15,20260632,1000,3091,0.783896103896,0.249082813853,0.253605986379,ok,
A,A1_baseline,1,1,L2,16,20260633,1000,3034,0.698444155845,0.22612030303,0.23020572045,ok,
A,A1_baseline,1,1,L2,17,20260634,1000,3025,0.707867532468,0.240362337662,0.234005795857,ok,
A,A1_baseline,1,1,L2,18,20260635,1000,2996,0.719431168832,0.254720389611,0.240130563695,ok,
A,A1_baseline,1,1,L2,19,20260636,1000,3037,0.753862337663,0.240007532468,0.248225991986,ok,
A,A1_baseline,1,1,L2,20,20260637,1000,3018,0.737051948052,0.231878268398,0.24421867066,ok,
A,A1_baseline,1,1,L2,21,20260638,1000,2998,0.735828571429,0.246862337662,0.245439817021,ok,
A,A1_baseline,1,1,L2,22,20260639,1000,2974,0.716527272728,0.23261974026,0.240930488476,ok,
A,A1_baseline,1,1,L2,23,20260640,1000,3106,0.768711688312,0.250567229437,0.247492494627,ok,
A,A1_baseline,1,1,L2,24,20260641,1000,3096,0.776218181819,0.255256623377,0.250716466996,ok,
A,A1_baseline,1,1,L2,25,20260642,1000,2954,0.723797402598,0.239507316017,0.245022817399,ok,
A,A1_baseline,1,1,L2,26,20260643,1000,3002,0.758615584416,0.245215367965,0.252703392544,ok,
A,A1_baseline,1,1,L2,27,20260644,1000,2996,0.756007792208,0.255439090909,0.252339049469,ok,
A,A1_baseline,1,1,L2,28,20260645,1000,2993,0.7136,0.236946406927,0.23842298697,ok,
A,A1_baseline,1,1,L2,29,20260646,1000,2966,0.691218181819,0.229663852814,0.233047262919,ok,
A,A1_baseline,1,1,L2,30,20260647,1000,2986,0.684233766234,0.223331298701,0.229147276033,ok,
A,A1_baseline,1,1,L3,1,20260618,1000,3046,0.548982467532,0.17673952381,0.180230619676,ok,
A,A1_baseline,1,1,L3,2,20260619,1000,3031,0.608405194805,0.197935465368,0.20072754695,ok,
A,A1_baseline,1,1,L3,3,20260620,1000,2988,0.573968181818,0.189932186147,0.192091091639,ok,
A,A1_baseline,1,1,L3,4,20260621,1000,3085,0.563376623377,0.182747316017,0.182618030268,ok,
A,A1_baseline,1,1,L3,5,20260622,1000,3039,0.562688961039,0.186161493507,0.185155959539,ok,
A,A1_baseline,1,1,L3,6,20260623,1000,3009,0.560588961039,0.182331796537,0.186304074789,ok,
A,A1_baseline,1,1,L3,7,20260624,1000,2998,0.566027272727,0.186858300866,0.188801625326,ok,
A,A1_baseline,1,1,L3,8,20260625,1000,2990,0.557366233766,0.189576915584,0.186410111628,ok,
A,A1_baseline,1,1,L3,9,20260626,1000,2976,0.569858441558,0.191928398268,0.191484691384,ok,
A,A1_baseline,1,1,L3,10,20260627,1000,3017,0.567014935065,0.194564469697,0.187939985106,ok,
A,A1_baseline,1,1,L3,11,20260628,1000,3010,0.60744025974,0.204948441558,0.201807395263,ok,
A,A1_baseline,1,1,L3,12,20260629,1000,2972,0.578635714286,0.198359512987,0.19469573159,ok,
