instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
AT_S_comercial_layout_AW_3,2,7c22ed17e15280a103e16716df861986b4af7657,210,110,100,314.0,1.0,5,5,101,127,1,final_rank_02_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,f39236f310d969aa256c2650d9f094412c4e5e4a,228,105,123,146.0,1.0,7,7,107,124,15,final_rank_03_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s107\runs\AT_S_comercial_layout_AW_3\seed_107\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,208517f91c79ad645918f20c3ae7d8f1f3a0d283,228,105,123,164.0,1.0,1,1,105,105,10,final_rank_03_layout_005,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,b8566aa01e04dd630860ed39c7876089903ff2d3,228,105,123,164.0,1.0,4,4,105,121,9,final_rank_03_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,31b483e1a5630e4fe3763d4609a0bec64482a282,228,87,141,182.0,1.0,1,1,123,123,2,final_rank_03_layout_004,4,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s123\runs\AT_S_comercial_layout_AW_3\seed_123\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,b4d3081b418ee664c2e14f6da6fe945949d53470,234,107,127,184.0,1.0,21,21,102,129,16,final_rank_03_layout_005,1,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s102\runs\AT_S_comercial_layout_AW_3\seed_102\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,f58db195176e0328e738ab30fdd0d22f3c15ba93,234,107,127,184.0,1.0,17,17,103,129,10,final_rank_03_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,5d31a8ee0a0514c37e90291823b55cfda5397753,213,97,116,186.0,1.0,12,12,103,130,14,final_rank_03_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s103\runs\AT_S_comercial_layout_AW_3\seed_103\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,b4012e63027e98af1c9b903c6073f2c7d839fa07,213,97,116,186.0,1.0,13,13,102,130,2,final_rank_03_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s102\runs\AT_S_comercial_layout_AW_3\seed_102\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,3f6c5650382557808c9ce9ea61d9656b41539743,228,98,130,206.0,1.0,3,3,101,130,7,final_rank_03_layout_004,6,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,c48de97d37643545bf1984426c0554c42b9fb5b7,207,104,103,225.0,1.0,3,3,106,117,11,final_rank_03_layout_006,2,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s106\runs\AT_S_comercial_layout_AW_3\seed_106\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,3f71d3604ac758ed2fc64782659a5c5b78ec10af,213,97,116,294.0,1.0,1,1,121,121,17,final_rank_03_layout_006,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s121\runs\AT_S_comercial_layout_AW_3\seed_121\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,8fd75ce86e637920b9767990b8639d15c3a9c885,213,97,116,294.0,1.0,1,1,121,121,18,final_rank_03_layout_007,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s121\runs\AT_S_comercial_layout_AW_3\seed_121\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,23ef570038b4a2e4003284fcf16d928fbd63ba52,213,98,115,319.0,1.0,6,6,105,128,5,final_rank_03_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,50c17a0a01e40dc419bb628a97be61bf9b69f85b,234,107,127,328.0,1.0,5,5,107,130,12,final_rank_03_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s107\runs\AT_S_comercial_layout_AW_3\seed_107\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,7b644daa2547201c5d08b35842ad945cbb28b5e9,234,107,127,328.0,1.0,5,5,107,130,13,final_rank_03_layout_002,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s107\runs\AT_S_comercial_layout_AW_3\seed_107\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,3,cb1343380110b3189ce0a49cd3bbd0b80591b9dd,207,104,103,344.0,1.0,2,2,121,126,19,final_rank_03_layout_008,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s121\runs\AT_S_comercial_layout_AW_3\seed_121\final_ranked_layouts_index.json,
